service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20131215WKD,1,1,1,1,1,0,0,20131215,20141231
A20131215SAT,0,0,0,0,0,1,0,20131215,20141231
A20131215SUN,0,0,0,0,0,0,1,20131215,20141231
B20131215WKD,1,1,1,1,1,0,0,20131215,20141231
B20131215SAT,0,0,0,0,0,1,0,20131215,20141231
B20131215SUN,0,0,0,0,0,0,1,20131215,20141231
R20131215WKD,1,1,1,1,1,0,0,20131215,20141231
R20131215SAT,0,0,0,0,0,1,0,20131215,20141231
R20131215SUN,0,0,0,0,0,0,1,20131215,20141231
S20131215MON,1,0,0,0,0,0,0,20131215,20141231
