trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A20131215SUN_069000_GS.N03R,11:30:00,11:30:00,901N,1,,0,0,
A20131215SUN_069000_GS.N03R,11:31:30,11:31:30,902N,2,,0,0,
A20131215SUN_069400_GS.S03R,11:34:00,11:34:00,902S,1,,0,0,
A20131215SUN_069400_GS.S03R,11:35:30,11:35:30,901S,2,,0,0,
A20131215SUN_070000_GS.N03R,11:40:00,11:40:00,901N,1,,0,0,
A20131215SUN_070000_GS.N03R,11:41:30,11:41:30,902N,2,,0,0,
A20131215SUN_070400_GS.S03R,11:44:00,11:44:00,902S,1,,0,0,
A20131215SUN_070400_GS.S03R,11:45:30,11:45:30,901S,2,,0,0,
A20131215SUN_071000_GS.N03R,11:50:00,11:50:00,901N,1,,0,0,
A20131215SUN_071000_GS.N03R,11:51:30,11:51:30,902N,2,,0,0,
A20131215SUN_071400_GS.S03R,11:54:00,11:54:00,902S,1,,0,0,
A20131215SUN_071400_GS.S03R,11:55:30,11:55:30,901S,2,,0,0,
A20131215SUN_072000_GS.N03R,12:00:00,12:00:00,901N,1,,0,0,
A20131215SUN_072000_GS.N03R,12:01:30,12:01:30,902N,2,,0,0,
A20131215SUN_072400_GS.S03R,12:04:00,12:04:00,902S,1,,0,0,
A20131215SUN_072400_GS.S03R,12:05:30,12:05:30,901S,2,,0,0,
A20131215SUN_073000_GS.N03R,12:10:00,12:10:00,901N,1,,0,0,
A20131215SUN_073000_GS.N03R,12:11:30,12:11:30,902N,2,,0,0,
A20131215SUN_073400_GS.S03R,12:14:00,12:14:00,902S,1,,0,0,
A20131215SUN_073400_GS.S03R,12:15:30,12:15:30,901S,2,,0,0,
A20131215SUN_074000_GS.N03R,12:20:00,12:20:00,901N,1,,0,0,
A20131215SUN_074000_GS.N03R,12:21:30,12:21:30,902N,2,,0,0,
A20131215SUN_074400_GS.S03R,12:24:00,12:24:00,902S,1,,0,0,
A20131215SUN_074400_GS.S03R,12:25:30,12:25:30,901S,2,,0,0,
A20131215SUN_075000_GS.N03R,12:30:00,12:30:00,901N,1,,0,0,
A20131215SUN_075000_GS.N03R,12:31:30,12:31:30,902N,2,,0,0,
A20131215SUN_075400_GS.S03R,12:34:00,12:34:00,902S,1,,0,0,
A20131215SUN_075400_GS.S03R,12:35:30,12:35:30,901S,2,,0,0,
A20131215SUN_076000_GS.N03R,12:40:00,12:40:00,901N,1,,0,0,
A20131215SUN_076000_GS.N03R,12:41:30,12:41:30,902N,2,,0,0,
A20131215SUN_076400_GS.S03R,12:44:00,12:44:00,902S,1,,0,0,
A20131215SUN_076400_GS.S03R,12:45:30,12:45:30,901S,2,,0,0,
A20131215SUN_077000_GS.N03R,12:50:00,12:50:00,901N,1,,0,0,
A20131215SUN_077000_GS.N03R,12:51:30,12:51:30,902N,2,,0,0,
A20131215SUN_077400_GS.S03R,12:54:00,12:54:00,902S,1,,0,0,
A20131215SUN_077400_GS.S03R,12:55:30,12:55:30,901S,2,,0,0,
A20131215SUN_078000_GS.N03R,13:00:00,13:00:00,901N,1,,0,0,
A20131215SUN_078000_GS.N03R,13:01:30,13:01:30,902N,2,,0,0,
A20131215SUN_078400_GS.S03R,13:04:00,13:04:00,902S,1,,0,0,
A20131215SUN_078400_GS.S03R,13:05:30,13:05:30,901S,2,,0,0,
A20131215SUN_079000_GS.N03R,13:10:00,13:10:00,901N,1,,0,0,
A20131215SUN_079000_GS.N03R,13:11:30,13:11:30,902N,2,,0,0,
A20131215SUN_079400_GS.S03R,13:14:00,13:14:00,902S,1,,0,0,
A20131215SUN_079400_GS.S03R,13:15:30,13:15:30,901S,2,,0,0,
A20131215SUN_080000_GS.N03R,13:20:00,13:20:00,901N,1,,0,0,
A20131215SUN_080000_GS.N03R,13:21:30,13:21:30,902N,2,,0,0,
A20131215SUN_080400_GS.S03R,13:24:00,13:24:00,902S,1,,0,0,
A20131215SUN_080400_GS.S03R,13:25:30,13:25:30,901S,2,,0,0,
A20131215SUN_081000_GS.N03R,13:30:00,13:30:00,901N,1,,0,0,
A20131215SUN_081000_GS.N03R,13:31:30,13:31:30,902N,2,,0,0,
A20131215SUN_081400_GS.S03R,13:34:00,13:34:00,902S,1,,0,0,
A20131215SUN_081400_GS.S03R,13:35:30,13:35:30,901S,2,,0,0,
A20131215SUN_082000_GS.N03R,13:40:00,13:40:00,901N,1,,0,0,
A20131215SUN_082000_GS.N03R,13:41:30,13:41:30,902N,2,,0,0,
A20131215SUN_082400_GS.S03R,13:44:00,13:44:00,902S,1,,0,0,
A20131215SUN_082400_GS.S03R,13:45:30,13:45:30,901S,2,,0,0,
