route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GS,A20131215SUN,A20131215SUN_069000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_069400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_070000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_070400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_071000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_071400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_072000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_072400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_073000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_073400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_074000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_074400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_075000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_075400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_076000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_076400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_077000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_077400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_078000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_078400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_079000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_079400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_080000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_080400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_081000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_081400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_082000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_082400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_083000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_083400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_084000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_084400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_085000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_085400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_086000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_086400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_087000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_087400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_088000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_088400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_089000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_089400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_090000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_090400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_091000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_091400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_092000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_092400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_093000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_093400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_094000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_094400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_095000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_095400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_096000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_096400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_097000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_097400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_098000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_098400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_099000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_099400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_100000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_100400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_101000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_101400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_102000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_102400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20131215SUN,A20131215SUN_103000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20131215SUN,A20131215SUN_103400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
